# amide: ROI Analysis File - generated on Fri Aug 20 21:23:56 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     1.63274	           1	    -131.055	     15.0391	       12.75
     1.63269	           1	    -118.164	     6.44531	       29.75
     1.63264	           1	    -131.055	     6.44531	          17
     1.63257	           1	    -118.164	     23.6328	       -4.25
     1.63191	           1	     -109.57	     23.6328	         8.5
     1.63189	           1	    -118.164	     23.6328	      -12.75
      1.6297	           1	    -126.758	     23.6328	        4.25
     1.62897	           1	     -109.57	     23.6328	        4.25
     1.62734	           1	    -113.867	     36.5234	           0
     1.62711	           1	    -113.867	     10.7422	          51
     1.62699	      0.9375	    -143.945	     6.44531	       21.25
     1.62679	           1	    -139.648	     15.0391	       12.75
     1.62669	           1	    -139.648	     23.6328	         8.5
     1.62655	           1	    -126.758	     32.2266	        4.25
     1.62571	           1	    -131.055	     19.3359	        4.25
     1.62516	           1	    -126.758	     27.9297	        4.25
     1.62448	           1	    -113.867	     10.7422	          17
